"HOUSEHOLD DATA - ANNUAL AVERAGES 2018
39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex. [Numbers in thousands]",,,,,,
Occupations,total_#_ of_workers,total_median_weekly_earnings,male_workers,male_median_weekly_earnings,female_workers,female_median_weekly_earnings
Speech-language pathologists,105,"1,215",6,–,100,"1,214"
Exercise physiologists,2,–,0,–,2,–
"Therapists, all other",155,"1,047",33,–,122,"1,014"
Veterinarians,64,"1,677",18,–,46,–
Registered nurses,"2,584","1,167",315,"1,271","2,270","1,156"
Nurse anesthetists,22,–,13,–,8,–
Nurse midwives,2,–,0,–,2,–
Nurse practitioners,158,"1,894",24,–,134,"1,891"
"Health diagnosing and treating practitioners, all other",10,–,6,–,4,–
Clinical laboratory technologists and technicians,290,893,75,819,215,911
Dental hygienists,75,"1,047",3,–,72,"1,055"
Diagnostic related technologists and technicians,269,"1,140",97,"1,232",172,"1,061"
Emergency medical technicians and paramedics,180,894,122,943,59,764
Health practitioner support technologists and technicians,542,691,112,807,431,655
Licensed practical and licensed vocational nurses,490,757,56,936,434,743
Medical records and health information technicians,140,765,11,–,129,739
"Opticians, dispensing",47,–,11,–,36,–
Miscellaneous health technologists and technicians,117,873,44,–,73,791
Other healthcare practitioners and technical occupations,100,"1,022",48,–,52,961
,,,,,,
Service occupations,"16,288",569,"7,948",641,"8,340",511
Healthcare support occupations,"2,595",561,361,661,"2,235",548
"Nursing, psychiatric, and home health aides","1,419",516,154,558,"1,265",513
Occupational therapy assistants and aides,24,–,4,–,21,–
Physical therapist assistants and aides,68,848,24,–,43,–
Massage therapists,40,–,15,–,24,–
Dental assistants,197,606,9,–,187,598
Medical assistants,499,612,45,–,454,607
Medical transcriptionists,23,–,4,–,18,–
Pharmacy aides,28,–,5,–,23,–
Veterinary assistants and laboratory animal caretakers,49,–,10,–,39,–
Phlebotomists,96,624,29,–,67,602
"Miscellaneous healthcare support occupations, including medical equipment preparers",154,598,61,703,93,559
Protective service occupations,"2,836",848,"2,258",922,578,613
First-line supervisors of correctional officers,47,–,35,–,13,–
First-line supervisors of police and detectives,85,"1,460",74,"1,461",12,–
First-line supervisors of fire fighting and prevention workers,52,"1,304",50,"1,321",2,–
"First-line supervisors of protective service workers, all other",74,839,58,886,16,–
Firefighters,295,"1,126",280,"1,133",14,–
Fire inspectors,18,–,16,–,2,–
"Bailiffs, correctional officers, and jailers",394,742,289,811,105,646
Detectives and criminal investigators,157,"1,331",122,"1,317",35,–
Fish and game wardens,6,–,5,–,0,–
Parking enforcement workers,4,–,0,–,4,–
Police and sheriff's patrol officers,728,"1,092",622,"1,131",106,816
Transit and railroad police,1,–,1,–,0,–
Animal control workers,13,–,5,–,8,–
Private detectives and investigators,89,851,43,–,46,–
Security guards and gaming surveillance officers,781,596,594,636,187,506
Crossing guards,28,–,22,–,6,–
Transportation security screeners,33,–,27,–,6,–
"Lifeguards and other recreational, and all other protective service workers",31,–,15,–,16,–
Food preparation and serving related occupations,"4,394",501,"2,210",533,"2,184",473
Chefs and head cooks,365,615,300,624,65,562
First-line supervisors of food preparation and serving workers,397,583,166,668,231,539
Cooks,"1,325",486,804,518,521,437
Food preparation workers,473,463,206,486,267,446
Bartenders,275,581,124,601,151,560
"Combined food preparation and serving workers, including fast food",147,436,64,410,83,475
"Counter attendants, cafeteria, food concession, and coffee shop",41,–,19,–,22,–
Waiters and waitresses,932,496,321,551,611,478
"Food servers, nonrestaurant",106,484,32,–,74,475
Dining room and cafeteria attendants and bartender helpers,118,447,59,500,58,408
Dishwashers,111,441,89,434,22,–
"Hosts and hostesses, restaurant, lounge, and coffee shop",102,471,24,–,78,473
"Food preparation and serving related workers, all other",2,–,1,–,1,–
Building and grounds cleaning and maintenance occupations,"3,695",551,"2,373",604,"1,322",477
First-line supervisors of housekeeping and janitorial workers,193,711,116,772,77,615
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",95,770,93,774,2,–
Janitors and building cleaners,"1,672",571,"1,193",607,480,491
Maids and housekeeping cleaners,825,467,102,559,723,457
Pest control workers,75,688,70,725,4,–
Grounds maintenance workers,834,572,798,576,36,–
Personal care and service occupations,"2,768",544,746,638,"2,022",517
First-line supervisors of gaming workers,125,793,83,914,43,–
First-line supervisors of personal service workers,86,747,27,–,60,739
Animal trainers,11,–,4,–,7,–
Nonfarm animal caretakers,102,555,24,–,79,548
Gaming services workers,73,654,37,–,36,–
Motion picture projectionists,0,–,0,–,0,–
"Ushers, lobby attendants, and ticket takers",5,–,3,–,3,–
