CoC Number,CoC Name,CoC Category,"Overall Homeless, 2018","Sheltered ES Homeless, 2018","Sheltered TH Homeless, 2018","Sheltered SH Homeless, 2018","Sheltered Total Homeless, 2018","Unsheltered Homeless, 2018","Homeless Individuals, 2018","Sheltered ES Homeless Individuals, 2018","Sheltered TH Homeless Individuals, 2018","Sheltered SH Homeless Individuals, 2018","Sheltered Total Homeless Individuals, 2018","Unsheltered Homeless Individuals, 2018","Homeless People in Families, 2018","Sheltered ES Homeless People in Families, 2018","Sheltered TH Homeless People in Families, 2018","Sheltered Total Homeless People in Families, 2018","Unsheltered Homeless People in Families, 2018","Homeless Family Households, 2018","Sheltered ES Homeless Family Households, 2018","Sheltered TH Homeless Family Households, 2018","Sheltered Total Homeless Family Households, 2018","Unsheltered Homeless Family Households, 2018","Chronically Homeless, 2018","Sheltered ES Chronically Homeless, 2018","Sheltered SH Chronically Homeless, 2018","Sheltered Total Chronically Homeless, 2018","Unsheltered Chronically Homeless, 2018","Chronically Homeless Individuals, 2018","Sheltered ES Chronically Homeless Individuals, 2018","Sheltered SH Chronically Homeless Individuals, 2018","Sheltered Total Chronically Homeless Individuals, 2018","Unsheltered Chronically Homeless Individuals, 2018","Chronically Homeless People in Families, 2018","Sheltered ES Chronically Homeless People in Families, 2018","Sheltered Total Chronically Homeless People in Families, 2018","Unsheltered Chronically Homeless People in Families, 2018","Homeless Veterans, 2018","Sheltered ES Homeless Veterans, 2018","Sheltered TH Homeless Veterans, 2018","Sheltered SH Homeless Veterans, 2018","Sheltered Total Homeless Veterans, 2018","Unsheltered Homeless Veterans, 2018","Homeless Unaccompanied Youth (Under 25), 2018","Sheltered ES Homeless Unaccompanied Youth (Under 25), 2018","Sheltered TH Homeless Unaccompanied Youth (Under 25), 2018","Sheltered SH Homeless Unaccompanied Youth (Under 25), 2018","Sheltered Total Homeless Unaccompanied Youth (Under 25), 2018","Unsheltered Homeless Unaccompanied Youth (Under 25), 2018","Homeless Unaccompanied Youth Under 18, 2018","Sheltered ES Homeless Unaccompanied Youth Under 18, 2018","Sheltered TH Homeless Unaccompanied Youth Under 18, 2018","Sheltered SH Homeless Unaccompanied Youth Under 18, 2018","Sheltered Total Homeless Unaccompanied Youth Under 18, 2018","Unsheltered Homeless Unaccompanied Youth Under 18, 2018","Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered ES Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered TH Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered SH Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered Total Homeless Unaccompanied Youth Age 18-24, 2018","Unsheltered Homeless Unaccompanied Youth Age 18-24, 2018","Homeless Parenting Youth (Under 25), 2018","Sheltered ES Homeless Parenting Youth (Under 25), 2018","Sheltered TH Homeless Parenting Youth (Under 25), 2018","Sheltered Total Homeless Parenting Youth (Under 25), 2018","Unsheltered Homeless Parenting Youth (Under 25), 2018","Homeless Parenting Youth Under 18, 2018","Sheltered ES Homeless Parenting Youth Under 18, 2018","Sheltered TH Homeless Parenting Youth Under 18, 2018","Sheltered Total Homeless Parenting Youth Under 18, 2018","Unsheltered Homeless Parenting Youth Under 18, 2018","Homeless Parenting Youth Age 18-24, 2018","Sheltered ES Homeless Parenting Youth Age 18-24, 2018","Sheltered TH Homeless Parenting Youth Age 18-24, 2018","Sheltered Total Homeless Parenting Youth Age 18-24, 2018","Unsheltered Homeless Parenting Youth Age 18-24, 2018","Homeless Children of Parenting Youth, 2018","Sheltered ES Homeless Children of Parenting Youth, 2018","Sheltered TH Homeless Children of Parenting Youth, 2018","Sheltered Total Homeless Children of Parenting Youth, 2018","Unsheltered Homeless Children of Parenting Youth, 2018"
AK-500,Anchorage CoC,Other Urban CoCs,"1,094",751,249,0,"1,000",94,814,618,102,0,720,94,280,133,147,280,0,87,39,48,87,0,177,150,0,150,27,163,136,0,136,27,14,14,14,0,62,50,8,0,58,4,97,55,39,0,94,3,5,5,0,0,5,0,92,50,39,0,89,3,15,6,9,15,0,1,0,1,1,0,14,6,8,14,0,14,5,9,14,0
AK-501,Alaska Balance of State CoC,Rural CoCs,922,497,210,0,707,215,620,335,118,0,453,167,302,162,92,254,48,106,61,27,88,18,180,125,0,125,55,160,107,0,107,53,20,18,18,2,70,37,15,0,52,18,66,31,25,0,56,10,3,3,0,0,3,0,63,28,25,0,53,10,11,8,1,9,2,0,0,0,0,0,11,8,1,9,2,12,9,1,10,2
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Suburban CoCs,901,431,219,32,682,219,720,322,147,32,501,219,181,109,72,181,0,54,28,26,54,0,119,82,13,95,24,114,77,13,90,24,5,5,5,0,133,86,30,0,116,17,26,14,7,0,21,5,4,4,0,0,4,0,22,10,7,0,17,5,3,1,2,3,0,0,0,0,0,0,3,1,2,3,0,7,1,6,7,0
AL-501,Mobile City & County/Baldwin County CoC,Other Urban CoCs,551,225,93,0,318,233,399,143,40,0,183,216,152,82,53,135,17,48,26,16,42,6,59,11,0,11,48,59,11,0,11,48,0,0,0,0,52,8,34,0,42,10,16,8,0,0,8,8,0,0,0,0,0,0,16,8,0,0,8,8,9,4,1,5,4,0,0,0,0,0,9,4,1,5,4,12,8,1,9,3
AL-502,Florence/Northwest Alabama CoC,Rural CoCs,256,128,106,0,234,22,166,63,81,0,144,22,90,65,25,90,0,41,29,12,41,0,136,122,0,122,14,77,63,0,63,14,59,59,59,0,8,0,0,0,0,8,17,0,16,0,16,1,16,0,16,0,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL-503,Huntsville/North Alabama CoC,Other Urban CoCs,424,283,25,0,308,116,336,223,7,0,230,106,88,60,18,78,10,30,20,7,27,3,111,57,0,57,54,107,57,0,57,50,4,0,0,4,34,21,0,0,21,13,24,16,5,0,21,3,5,5,0,0,5,0,19,11,5,0,16,3,5,2,3,5,0,0,0,0,0,0,5,2,3,5,0,6,3,3,6,0
AL-504,Montgomery City & County CoC,Other Urban CoCs,369,173,127,0,300,69,272,146,57,0,203,69,97,27,70,97,0,28,8,20,28,0,63,41,0,41,22,63,41,0,41,22,0,0,0,0,54,43,5,0,48,6,21,14,5,0,19,2,9,8,1,0,9,0,12,6,4,0,10,2,2,0,2,2,0,0,0,0,0,0,2,0,2,2,0,3,0,3,3,0
AL-505,Gadsden/Northeast Alabama CoC,Rural CoCs,146,74,4,8,86,60,119,47,4,8,59,60,27,27,0,27,0,8,8,0,8,0,35,7,0,7,28,35,7,0,7,28,0,0,0,0,8,5,0,0,5,3,13,3,0,8,11,2,8,0,0,8,8,0,5,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL-506,Tuscaloosa City & County CoC,Other Urban CoCs,57,35,21,0,56,1,35,24,10,0,34,1,22,11,11,22,0,8,4,4,8,0,4,4,0,4,0,4,4,0,4,0,0,0,0,0,10,1,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0
AL-507,Alabama Balance of State CoC,Rural CoCs,730,170,270,0,440,290,523,89,250,0,339,184,207,81,20,101,106,63,30,5,35,28,13,4,0,4,9,13,4,0,4,9,0,0,0,0,40,6,19,0,25,15,41,12,5,0,17,24,2,0,1,0,1,1,39,12,4,0,16,23,7,3,0,3,4,0,0,0,0,0,7,3,0,3,4,7,3,0,3,4
AR-500,Little Rock/Central Arkansas CoC,Other Urban CoCs,"1,081",335,196,0,531,550,950,274,158,0,432,518,131,61,38,99,32,47,21,14,35,12,232,82,0,82,150,222,82,0,82,140,10,0,0,10,124,40,30,0,70,54,74,0,36,0,36,38,14,0,12,0,12,2,60,0,24,0,24,36,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0
AR-501,Fayetteville/Northwest Arkansas CoC,Other Urban CoCs,474,107,216,0,323,151,348,70,127,0,197,151,126,37,89,126,0,42,12,30,42,0,42,9,0,9,33,42,9,0,9,33,0,0,0,0,60,11,29,0,40,20,51,13,32,0,45,6,22,6,15,0,21,1,29,7,17,0,24,5,4,3,1,4,0,0,0,0,0,0,4,3,1,4,0,5,4,1,5,0
AR-503,Arkansas  Balance of State  CoC,Rural CoCs,768,243,66,0,309,459,666,170,54,0,224,442,102,73,12,85,17,35,26,4,30,5,107,21,0,21,86,107,21,0,21,86,0,0,0,0,31,14,0,0,14,17,92,16,3,0,19,73,0,0,0,0,0,0,92,16,3,0,19,73,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,3,3,0,3,0
AR-504,Delta Hills CoC,Rural CoCs,57,16,10,6,32,25,51,16,10,6,32,19,6,0,0,0,6,2,0,0,0,2,18,5,4,9,9,15,5,4,9,6,3,0,0,3,11,11,0,0,11,0,2,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR-505,Southeast Arkansas CoC,Rural CoCs,101,85,10,0,95,6,53,43,4,0,47,6,48,42,6,48,0,14,12,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,9,9,0,0,9,0,7,7,0,0,7,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR-508,Fort Smith CoC,Rural CoCs,231,147,18,0,165,66,212,135,14,0,149,63,19,12,4,16,3,7,5,1,6,1,67,32,0,32,35,67,32,0,32,35,0,0,0,0,22,2,10,0,12,10,12,12,0,0,12,0,0,0,0,0,0,0,12,12,0,0,12,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2
AR-512,"Boone, Baxter, Marion, Newton Counties CoC",Rural CoCs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
AZ-500,Arizona Balance of State CoC,Rural CoCs,"2,187",850,252,0,"1,102","1,085","1,638",531,133,0,664,974,549,319,119,438,111,169,101,37,138,31,537,59,0,59,478,530,59,0,59,471,7,0,0,7,277,48,59,0,107,170,120,53,4,0,57,63,10,10,0,0,10,0,110,43,4,0,47,63,11,0,2,2,9,1,0,1,1,0,10,0,1,1,9,13,0,5,5,8
AZ-501,Tucson/Pima County CoC,Major Cities,"1,380",666,337,14,"1,017",363,"1,079",532,174,14,720,359,301,134,163,297,4,104,50,52,102,2,263,164,8,172,91,251,152,8,160,91,12,12,12,0,203,89,67,2,158,45,103,36,31,0,67,36,0,0,0,0,0,0,103,36,31,0,67,36,29,6,23,29,0,0,0,0,0,0,29,6,23,29,0,31,8,23,31,0
AZ-502,"Phoenix, Mesa/Maricopa County CoC",Major Cities,"6,298","2,099","1,555",26,"3,680","2,618","4,542","1,264",680,26,"1,970","2,572","1,756",835,875,"1,710",46,519,239,266,505,14,974,353,5,358,616,959,340,5,345,614,15,13,13,2,413,80,169,26,275,138,415,127,146,0,273,142,38,19,19,0,38,0,377,108,127,0,235,142,24,13,11,24,0,0,0,0,0,0,24,13,11,24,0,37,20,17,37,0
CA-500,San Jose/Santa Clara City & County CoC,Major Cities,"7,254","1,151",635,20,"1,806","5,448","6,267",754,341,20,"1,115","5,152",987,397,294,691,296,272,115,86,201,71,"2,139",338,6,344,"1,795","2,056",292,6,298,"1,758",83,46,46,37,658,70,116,20,206,452,"2,517",31,50,0,81,"2,436",506,6,0,0,6,500,"2,011",25,50,0,75,"1,936",33,8,17,25,8,0,0,0,0,0,33,8,17,25,8,42,11,22,33,9
CA-501,San Francisco CoC,Major Cities,"6,857","2,011",474,19,"2,504","4,353","6,211","1,591",268,19,"1,878","4,333",646,420,206,626,20,247,155,86,241,6,"1,757",174,5,179,"1,578","1,732",152,5,157,"1,575",25,22,22,3,656,147,134,19,300,356,"1,292",42,126,0,168,"1,124",103,9,0,0,9,94,"1,189",33,126,0,159,"1,030",157,90,60,150,7,0,0,0,0,0,157,90,60,150,7,189,124,60,184,5
CA-502,"Oakland, Berkeley/Alameda County CoC",Major Cities,"5,496",962,660,11,"1,633","3,863","4,801",570,383,11,964,"3,837",695,392,277,669,26,256,150,97,247,9,"1,742",328,5,333,"1,409","1,625",214,5,219,"1,406",117,114,114,3,526,44,94,10,148,378,935,66,131,0,197,738,74,11,1,0,12,62,861,55,130,0,185,676,53,9,39,48,5,0,0,0,0,0,53,9,39,48,5,66,9,50,59,7
CA-503,Sacramento City & County CoC,Major Cities,"3,621","1,124",445,0,"1,569","2,052","3,104",787,282,0,"1,069","2,035",517,337,163,500,17,161,97,58,155,6,"1,192",389,0,389,803,"1,158",355,0,355,803,34,34,34,0,492,90,75,0,165,327,239,50,71,0,121,118,2,2,0,0,2,0,237,48,71,0,119,118,28,5,23,28,0,0,0,0,0,0,28,5,23,28,0,39,7,32,39,0
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Suburban CoCs,"2,996",801,266,0,"1,067","1,929","2,657",595,165,0,760,"1,897",339,206,101,307,32,104,61,30,91,13,747,115,0,115,632,715,88,0,88,627,32,27,27,5,207,43,20,0,63,144,505,40,22,0,62,443,34,7,3,0,10,24,471,33,19,0,52,419,10,3,5,8,2,0,0,0,0,0,10,3,5,8,2,14,6,6,12,2
CA-505,Richmond/Contra Costa County CoC,Suburban CoCs,"2,234",552,145,0,697,"1,537","1,955",419,104,0,523,"1,432",279,133,41,174,105,89,40,15,55,34,555,186,0,186,369,492,162,0,162,330,63,24,24,39,102,45,11,0,56,46,133,22,16,0,38,95,0,0,0,0,0,0,133,22,16,0,38,95,8,6,0,6,2,0,0,0,0,0,8,6,0,6,2,12,9,0,9,3
CA-506,"Salinas/Monterey, San Benito Counties CoC",Rural CoCs,"3,299",333,452,0,785,"2,514","2,683",189,196,0,385,"2,298",616,144,256,400,216,173,40,78,118,55,942,83,0,83,859,935,76,0,76,859,7,7,7,0,167,39,72,0,111,56,623,11,23,0,34,589,152,0,0,0,0,152,471,11,23,0,34,437,11,4,5,9,2,0,0,0,0,0,11,4,5,9,2,13,5,7,12,1
CA-507,Marin County CoC,Suburban CoCs,"1,095",237,150,0,387,708,920,196,46,0,242,678,175,41,104,145,30,58,16,34,50,8,399,107,0,107,292,388,101,0,101,287,11,6,6,5,89,8,14,0,22,67,133,11,7,0,18,115,18,0,0,0,0,18,115,11,7,0,18,97,3,1,1,2,1,0,0,0,0,0,3,1,1,2,1,4,2,1,3,1
CA-508,Watsonville/Santa Cruz City & County CoC,Suburban CoCs,"2,320",320,201,0,521,"1,799","1,911",204,77,0,281,"1,630",409,116,124,240,169,134,38,42,80,54,634,111,0,111,523,563,96,0,96,467,71,15,15,56,245,27,1,0,28,217,614,14,27,0,41,573,169,10,0,0,10,159,445,4,27,0,31,414,20,6,4,10,10,2,2,0,2,0,18,4,4,8,10,27,10,4,14,13
CA-509,Mendocino County CoC,Rural CoCs,880,94,63,0,157,723,829,79,27,0,106,723,51,15,36,51,0,14,3,11,14,0,96,43,0,43,53,92,39,0,39,53,4,4,4,0,12,5,1,0,6,6,15,1,1,0,2,13,0,0,0,0,0,0,15,1,1,0,2,13,3,1,2,3,0,0,0,0,0,0,3,1,2,3,0,3,1,2,3,0
CA-510,"Turlock, Modesto/Stanislaus County CoC",Suburban CoCs,"1,356",578,172,0,750,606,"1,080",390,117,0,507,573,276,188,55,243,33,85,59,16,75,10,241,108,0,108,133,214,85,0,85,129,27,23,23,4,87,30,15,0,45,42,79,19,14,0,33,46,3,3,0,0,3,0,76,16,14,0,30,46,18,15,1,16,2,1,0,0,0,1,17,15,1,16,1,18,16,1,17,1
CA-511,Stockton/San Joaquin County CoC,Other Urban CoCs,"1,685",927,191,0,"1,118",567,"1,054",395,110,0,505,549,631,532,81,613,18,187,155,27,182,5,262,138,0,138,124,224,100,0,100,124,38,38,38,0,96,31,33,0,64,32,58,19,10,0,29,29,3,3,0,0,3,0,55,16,10,0,26,29,19,14,3,17,2,0,0,0,0,0,19,14,3,17,2,25,19,3,22,3
CA-512,Daly/San Mateo County CoC,Suburban CoCs,"1,238",258,343,0,601,637,811,170,79,0,249,562,427,88,264,352,75,121,26,76,102,19,238,35,0,35,203,238,35,0,35,203,0,0,0,0,100,28,15,0,43,57,30,10,9,0,19,11,5,1,0,0,1,4,25,9,9,0,18,7,8,3,5,8,0,0,0,0,0,0,8,3,5,8,0,11,3,8,11,0
CA-513,"Visalia/Kings, Tulare Counties CoC",Other Urban CoCs,967,158,157,0,315,652,823,79,106,0,185,638,144,79,51,130,14,45,26,14,40,5,288,14,0,14,274,286,12,0,12,274,2,2,2,0,46,4,2,0,6,40,72,5,18,0,23,49,3,0,0,0,0,3,69,5,18,0,23,46,4,1,1,2,2,0,0,0,0,0,4,1,1,2,2,3,1,1,2,1
CA-514,Fresno City & County/Madera County CoC,Major Cities,"2,144",331,108,24,463,"1,681","1,886",157,33,24,214,"1,672",258,174,75,249,9,84,58,23,81,3,524,37,5,42,482,524,37,5,42,482,0,0,0,0,211,53,33,0,86,125,97,26,4,0,30,67,12,9,0,0,9,3,85,17,4,0,21,64,12,11,1,12,0,0,0,0,0,0,12,11,1,12,0,14,13,1,14,0
CA-515,"Roseville, Rocklin/Placer, Nevada Counties CoC",Suburban CoCs,950,367,125,0,492,458,766,287,44,0,331,435,184,80,81,161,23,58,24,26,50,8,327,162,0,162,165,303,138,0,138,165,24,24,24,0,55,30,1,0,31,24,56,9,6,0,15,41,0,0,0,0,0,0,56,9,6,0,15,41,8,1,6,7,1,0,0,0,0,0,8,1,6,7,1,11,1,9,10,1
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Rural CoCs,"1,149",248,211,0,459,690,955,197,142,0,339,616,194,51,69,120,74,56,13,21,34,22,431,107,0,107,324,403,98,0,98,305,28,9,9,19,124,18,38,0,56,68,51,18,9,0,27,24,5,0,4,0,4,1,46,18,5,0,23,23,4,0,2,2,2,1,0,0,0,1,3,0,2,2,1,5,0,3,3,2
CA-517,Napa City & County CoC,Other Urban CoCs,322,122,46,0,168,154,276,114,11,0,125,151,46,8,35,43,3,14,2,11,13,1,158,66,0,66,92,158,66,0,66,92,0,0,0,0,23,13,0,0,13,10,14,5,4,0,9,5,0,0,0,0,0,0,14,5,4,0,9,5,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0
CA-518,Vallejo/Solano County CoC,Other Urban CoCs,"1,129",144,68,0,212,917,"1,052",122,44,0,166,886,77,22,24,46,31,28,7,12,19,9,461,87,0,87,374,441,70,0,70,371,20,17,17,3,124,7,12,0,19,105,218,15,24,0,39,179,18,0,0,0,0,18,200,15,24,0,39,161,10,0,8,8,2,0,0,0,0,0,10,0,8,8,2,11,0,8,8,3
CA-519,"Chico, Paradise/Butte County CoC",Rural CoCs,"1,125",274,106,0,380,745,946,206,52,0,258,688,179,68,54,122,57,61,26,17,43,18,506,86,0,86,420,467,64,0,64,403,39,22,22,17,109,15,14,0,29,80,68,11,15,0,26,42,12,1,3,0,4,8,56,10,12,0,22,34,3,0,2,2,1,0,0,0,0,0,3,0,2,2,1,4,0,3,3,1
CA-520,Merced City & County CoC,Suburban CoCs,514,104,98,0,202,312,456,57,98,0,155,301,58,47,0,47,11,17,13,0,13,4,148,18,0,18,130,148,18,0,18,130,0,0,0,0,13,2,1,0,3,10,34,13,0,0,13,21,0,0,0,0,0,0,34,13,0,0,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA-521,"Davis, Woodland/Yolo County CoC",Suburban CoCs,448,179,60,0,239,209,316,80,32,0,112,204,132,99,28,127,5,48,38,9,47,1,157,10,0,10,147,152,10,0,10,142,5,0,0,5,22,3,1,0,4,18,25,3,13,0,16,9,0,0,0,0,0,0,25,3,13,0,16,9,9,7,2,9,0,0,0,0,0,0,9,7,2,9,0,14,12,2,14,0
CA-522,Humboldt County CoC,Rural CoCs,703,188,81,0,269,434,605,149,55,0,204,401,98,39,26,65,33,32,13,8,21,11,363,95,0,95,268,349,89,0,89,260,14,6,6,8,106,34,32,0,66,40,70,6,20,0,26,44,13,5,8,0,13,0,57,1,12,0,13,44,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2
CA-523,"Colusa, Glenn, Trinity Counties CoC",Rural CoCs,268,66,29,0,95,173,162,1,9,0,10,152,106,65,20,85,21,33,18,6,24,9,94,1,0,1,93,85,1,0,1,84,9,0,0,9,18,1,1,0,2,16,6,0,0,0,0,6,3,0,0,0,0,3,3,0,0,0,0,3,4,1,2,3,1,0,0,0,0,0,4,1,2,3,1,6,1,2,3,3
CA-524,Yuba City & County/Sutter County CoC,Suburban CoCs,765,292,0,0,292,473,457,72,0,0,72,385,308,220,0,220,88,96,67,0,67,29,172,96,0,96,76,110,37,0,37,73,62,59,59,3,28,1,0,0,1,27,22,2,0,0,2,20,1,0,0,0,0,1,21,2,0,0,2,19,24,18,0,18,6,0,0,0,0,0,24,18,0,18,6,28,21,0,21,7
CA-525,El Dorado County CoC,Suburban CoCs,645,111,38,0,149,496,477,96,23,0,119,358,168,15,15,30,138,65,7,5,12,53,211,0,0,0,211,145,0,0,0,145,66,0,0,66,82,0,0,0,0,82,41,18,1,0,19,22,12,12,0,0,12,0,29,6,1,0,7,22,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,2,1,1,2,0
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Rural CoCs,398,103,31,0,134,264,265,28,17,0,45,220,133,75,14,89,44,45,24,5,29,16,72,5,0,5,67,68,1,0,1,67,4,4,4,0,19,2,7,0,9,10,22,1,2,0,3,19,0,0,0,0,0,0,22,1,2,0,3,19,16,3,0,3,13,0,0,0,0,0,16,3,0,3,13,11,3,0,3,8
CA-527,Tehama County CoC,Rural CoCs,125,55,14,0,69,56,107,42,9,0,51,56,18,13,5,18,0,6,4,2,6,0,55,18,0,18,37,55,18,0,18,37,0,0,0,0,9,8,0,0,8,1,4,3,0,0,3,1,0,0,0,0,0,0,4,3,0,0,3,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,0,2,0
CA-529,Lake County CoC,Rural CoCs,615,12,12,0,24,591,547,7,6,0,13,534,68,5,6,11,57,30,2,3,5,25,82,4,0,4,78,75,0,0,0,75,7,4,4,3,12,0,1,0,1,11,33,0,1,0,1,32,6,0,0,0,0,6,27,0,1,0,1,26,5,2,3,5,0,0,0,0,0,0,5,2,3,5,0,6,3,3,6,0
CA-530,"Alpine, Inyo, Mono Counties CoC",Rural CoCs,157,1,0,0,1,156,145,1,0,0,1,144,12,0,0,0,12,3,0,0,0,3,65,1,0,1,64,65,1,0,1,64,0,0,0,0,6,0,0,0,0,6,10,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA-600,Los Angeles City & County CoC,Major Cities,"49,955","8,819","3,522",44,"12,385","37,570","42,079","3,803","2,328",44,"6,175","35,904","7,876","5,016","1,194","6,210","1,666","2,528","1,574",397,"1,971",557,"13,275",823,30,853,"12,422","12,782",734,30,764,"12,018",493,89,89,404,"3,538",223,628,20,871,"2,667","2,337",331,567,1,899,"1,438",63,26,9,0,35,28,"2,274",305,558,1,864,"1,410",415,296,98,394,21,0,0,0,0,0,415,296,98,394,21,412,274,116,390,22
CA-601,San Diego City and County CoC,Major Cities,"8,576","1,948","1,574",64,"3,586","4,990","7,063","1,468",855,64,"2,387","4,676","1,513",480,719,"1,199",314,483,143,238,381,102,"2,171",744,27,771,"1,400","1,991",619,27,646,"1,345",180,125,125,55,"1,312",290,320,43,653,659,876,74,112,0,186,690,105,16,14,0,30,75,771,58,98,0,156,615,87,13,52,65,22,0,0,0,0,0,87,13,52,65,22,101,17,66,83,18
CA-602,"Santa Ana, Anaheim/Orange County CoC",Suburban CoCs,"4,955","1,435",936,0,"2,371","2,584","3,780","1,052",210,0,"1,262","2,518","1,175",383,726,"1,109",66,371,121,230,351,20,"1,066",457,0,457,609,"1,038",434,0,434,604,28,23,23,5,419,41,21,0,62,357,125,46,4,0,50,75,9,9,0,0,9,0,116,37,4,0,41,75,21,6,15,21,0,0,0,0,0,0,21,6,15,21,0,27,7,20,27,0
CA-603,Santa Maria/Santa Barbara County CoC,Suburban CoCs,"1,706",618,195,0,813,893,"1,335",490,106,0,596,739,371,128,89,217,154,117,39,30,69,48,307,207,0,207,100,234,192,0,192,42,73,15,15,58,104,35,20,0,55,49,142,23,21,0,44,98,34,1,0,0,1,33,108,22,21,0,43,65,11,4,7,11,0,1,1,0,1,0,10,3,7,10,0,15,6,9,15,0
CA-604,Bakersfield/Kern County CoC,Other Urban CoCs,885,394,121,0,515,370,715,249,104,0,353,362,170,145,17,162,8,56,49,4,53,3,133,35,0,35,98,129,31,0,31,98,4,4,4,0,80,11,51,0,62,18,56,22,7,0,29,27,0,0,0,0,0,0,56,22,7,0,29,27,8,8,0,8,0,0,0,0,0,0,8,8,0,8,0,11,11,0,11,0
CA-606,Long Beach CoC,Major Cities,"1,873",387,278,0,665,"1,208","1,678",307,220,0,527,"1,151",195,80,58,138,57,66,27,20,47,19,587,41,0,41,546,570,36,0,36,534,17,5,5,12,305,18,177,0,195,110,67,16,2,0,18,49,0,0,0,0,0,0,67,16,2,0,18,49,7,5,1,6,1,0,0,0,0,0,7,5,1,6,1,7,5,1,6,1
CA-607,Pasadena CoC,Other Urban CoCs,677,177,38,0,215,462,573,130,4,0,134,439,104,47,34,81,23,37,16,13,29,8,164,74,0,74,90,158,71,0,71,87,6,3,3,3,31,7,1,0,8,23,39,5,3,0,8,31,0,0,0,0,0,0,39,5,3,0,8,31,4,3,1,4,0,0,0,0,0,0,4,3,1,4,0,4,3,1,4,0
CA-608,Riverside City & County CoC,Suburban CoCs,"2,316",532,99,0,631,"1,685","2,087",358,53,0,411,"1,676",229,174,46,220,9,69,53,12,65,4,474,87,0,87,387,464,77,0,77,387,10,10,10,0,136,21,16,0,37,99,240,41,24,0,65,175,12,12,0,0,12,0,228,29,24,0,53,175,7,5,2,7,0,0,0,0,0,0,7,5,2,7,0,9,7,2,9,0
CA-609,San Bernardino City & County CoC,Suburban CoCs,"2,118",356,295,24,675,"1,443","1,593",126,103,24,253,"1,340",525,230,192,422,103,153,65,59,124,29,423,30,14,44,379,382,18,14,32,350,41,12,12,29,170,7,14,24,45,125,142,9,16,0,25,117,7,3,0,0,3,4,135,6,16,0,22,113,19,9,10,19,0,0,0,0,0,0,19,9,10,19,0,23,13,10,23,0
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",Other Urban CoCs,"1,308",289,178,11,478,830,"1,109",253,36,11,300,809,199,36,142,178,21,74,17,51,68,6,280,42,9,51,229,280,42,9,51,229,0,0,0,0,62,15,8,0,23,39,41,7,2,0,9,32,1,0,0,0,0,1,40,7,2,0,9,31,6,3,3,6,0,0,0,0,0,0,6,3,3,6,0,6,4,2,6,0
CA-612,Glendale CoC,Other Urban CoCs,260,52,52,0,104,156,168,29,0,0,29,139,92,23,52,75,17,30,6,18,24,6,49,11,0,11,38,49,11,0,11,38,0,0,0,0,12,0,0,0,0,12,9,5,0,0,5,4,0,0,0,0,0,0,9,5,0,0,5,4,2,0,2,2,0,0,0,0,0,0,2,0,2,2,0,3,0,3,3,0
